Trial_ID,Title,Has_Outcome_Data,Primary_Outcome_Count,Secondary_Outcome_Count,Primary_Outcomes,Secondary_Outcomes,CBR,CR,DFS,DMFS,DoR,EFS,LRFS,ORR,OS,PFS,PR,QOL,RR,TOX,TTF,TTP
NCT00003869,Carboxyamidotriazole in Treating Patients With Stage III or Stage IV Non-small Cell Lung Cancer,True,1,5,Overall Survival (OS) (MEDIAN) Months = 11.4 [9.2-13.9],Participants With Severe Non-hematologic Adverse Events (NUMBER) Participants = 38; Time to Disease Progression (TTP) (MEDIAN) Months = 2.8 [2.1-3.8]; Clinically Significant (10-point) Decrease in UNISCALE Quality of Life (QOL)Assessment From Baseline to Week 8 (NUMBER) participants = 28 [1.0-98.0]; Clinically Significant (10-point) Decrease in Functional Assessment of Cancer Therapy for Lung Cancer (FACT-L) Quality of Life (QOL)Assessment From Baseline to Week 8 (NUMBER) participants = 27 [40.2-93.1]; ,,,,,,,,,Overall Survival (OS) (MEDIAN) Months = 11.4 [9.2-13.9],,,Clinically Significant (10-point) Decrease in UNISCALE Quality of Life (QOL)Assessment From Baseline to Week 8 (NUMBER) participants = 28 [1.0-98.0]; Clinically Significant (10-point) Decrease in Functional Assessment of Cancer Therapy for Lung Cancer (FACT-L) Quality of Life (QOL)Assessment From Baseline to Week 8 (NUMBER) participants = 27 [40.2-93.1],,Participants With Severe Non-hematologic Adverse Events (NUMBER) Participants = 38,,
NCT00049543,"Gefitinib in Treating Patients With Stage IB, II, or IIIA Non-small Cell Lung Cancer That Was Comple",True,1,2,Overall Survival (NUMBER) percentage of 5 years survival rate = 0.52 [0.44-0.58],Disease Free Survival (NUMBER) percentage of 5-year disease free rate = 0.49 [0.42-0.55]; Incidence of Toxicities Graded Using the NCI Common Terminology Criteria for Adverse Events Version 3.0 (NUMBER) participants = 229,,,Disease Free Survival (NUMBER) percentage of 5-year disease free rate = 0.49 [0.42-0.55],,,,,,Overall Survival (NUMBER) percentage of 5 years survival rate = 0.52 [0.44-0.58],,,,,Incidence of Toxicities Graded Using the NCI Common Terminology Criteria for Adverse Events Version 3.0 (NUMBER) participants = 229,,
NCT00050960,"Evaluation of Efficacy, Safety and Tolerability of Targretin Capsules in Patients With Advanced or M",True,1,0,Overall Survival (MEDIAN) Months = 8.5 [7.7-9.3],,,,,,,,,,Overall Survival (MEDIAN) Months = 8.5 [7.7-9.3],,,,,,,
NCT00063154,"Safety and Effect of Pertuzumab in Patients With Advanced Non-Small Cell Lung Cancer, Which Has Prog",True,1,3,"Percentage of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progressive Disease (PD) (NUMBER) percentage of participants = 0.0","Number of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progressive Disease (PD) With HER2 Phosphorylation + or - Tumors (NUMBER) participants = 0; Progression-free Survival (MEDIAN) weeks = 6.6 [6.0-14.7]; Number of Participants Free From Disease Progression at 3, 6, and 12 Months (NUMBER) participants = 8",,"Percentage of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progressive Disease (PD) (NUMBER) percentage of participants = 0.0; Number of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progressive Disease (PD) With HER2 Phosphorylation + or - Tumors (NUMBER) participants = 0",,,,,,,,Progression-free Survival (MEDIAN) weeks = 6.6 [6.0-14.7],"Percentage of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progressive Disease (PD) (NUMBER) percentage of participants = 0.0; Number of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progressive Disease (PD) With HER2 Phosphorylation + or - Tumors (NUMBER) participants = 0",,,,,
NCT00065182,Comparison of IV Topotecan/Docetaxel to Docetaxel Alone in Second-Line Stage IIIB/IV Non-Small Cell ,True,1,10,Median Time of Overall Survival (MEDIAN) Weeks = 30.7 [26.1-35.9],"; ; ; ; ; ; Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs) (COUNT_OF_PARTICIPANTS) Participants = 186; Number of Participants With Grade 1, 2, 3 or 4 Hematologic Toxicities (COUNT_OF_PARTICIPANTS) Participants = 76; Number of Participants With Grade 3 or 4 Clinical Chemical Toxicities (COUNT_OF_PARTICIPANTS) Participants = 3; Number of Participants With Clinically Significant Abnormal Vital Signs Data (COUNT_OF_PARTICIPANTS) Participants = 0",,,,,,,,,Median Time of Overall Survival (MEDIAN) Weeks = 30.7 [26.1-35.9],,,,,Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs) (COUNT_OF_PARTICIPANTS) Participants = 186,,
NCT00085839,Erlotinib vs. Standard Chemotherapy in Patients With Advanced Non-small Cell Lung Cancer (NSCLC) and,True,1,2,Progression-free Survival (MEDIAN) months = 1.91 [1.28-2.69],Overall Survival (MEDIAN) months = 6.57 [3.78-8.25]; Best Tumor Response (NUMBER) participants = 0,,,,,,,,,Overall Survival (MEDIAN) months = 6.57 [3.78-8.25],Progression-free Survival (MEDIAN) months = 1.91 [1.28-2.69],,,,,,
NCT00093756,"Bortezomib, Paclitaxel, Carboplatin and Radiation Therapy for Non-Small Cell Lung Cancer",True,1,5,The Primary Endpoint of This Trial is the Proportion of Patients Alive at 1 Year. Phase II Patients Only. (NUMBER) proportion of Participants = 0.73,"Confirmed Tumor Response (COUNT_OF_PARTICIPANTS) Participants = 3; ; Progression-free Survival (MEDIAN) months = 8.4 [4.1-10.5]; Overall Survival (MEDIAN) months = 25 [15.6-35.8]; Frequency and Severity of Observed Toxicity, Graded by Common Terminology Criteria for Adverse Events (CTCAE) (COUNT_OF_PARTICIPANTS) Participants = 22",,,,,,,,,Overall Survival (MEDIAN) months = 25 [15.6-35.8],Progression-free Survival (MEDIAN) months = 8.4 [4.1-10.5],,,,"Frequency and Severity of Observed Toxicity, Graded by Common Terminology Criteria for Adverse Events (CTCAE) (COUNT_OF_PARTICIPANTS) Participants = 22",,
NCT00094835,Study to Evaluate Motesanib With or Without Carboplatin/Paclitaxel or Panitumumab in the Treatment o,True,10,1,"Time to Maximum Plasma Concentration of Motesanib (Tmax) for Cycle 1 (MEDIAN) hours = 0.75 [0.5-2.0]; Maximum Observed Plasma Concentration of Motesanib (Cmax) in Cycle 1 (MEAN) ng/mL = 158; Estimated Terminal-phase Half-life (t1/2,z) of Motesanib in Cycle 1 (MEAN) hours = 7.34; Area Under the Plasma Concentration-time Curve for Motesanib in Cycle 1 (MEAN) μg*hr/mL = 0.971; Trough Plasma Concentration at 24 Hours Post-dose (C24) for Motesanib in Cycle 1 (MEAN) ng/mL = 9.12; Time to Maximum Plasma Concentration of Motesanib (Tmax) in Cycle 2 (MEDIAN) hours = 1.5 [1.0-2.0]; Maximum Observed Plasma Concentration of Motesanib (Cmax) in Cycle 2 (MEAN) ng/mL = 148; Estimated Terminal-phase Half-life (t1/2,z) of Motesanib in Cycle 2 (MEAN) hours = 6.41; Area Under the Plasma Concentration-time Curve From Time 0 to 24 Hours Post-dose for Motesanib in Cycle 2 (MEAN) μg*hr/mL = 4.50; Trough Plasma Concentration at 24 Hours Post-dose (C24) for Motesanib in Cycle 2 (MEAN) ng/mL = 43.4",Percentage of Participants With an Overall Objective Response (NUMBER) Percentage of participants = 33,,,,,,,,,,,,,,,,
NCT00094861,Study to Evaluate Palifermin in the Reduction of Dysphagia in Patients With Locally Advanced Non-Sma,True,1,7,Number of Participants With Grade 2 or Higher Dysphagia (NUMBER) participants = 32,Duration of Grade 2 or Higher Dysphagia (MEAN) days = 32.4; Maximal Dysphagia Grade (MEAN) grade = 1.9; Number of Participants With Severe (Grade 3 or Higher) Dysphagia (NUMBER) participants = 13; Number of Participants With Unplanned Breaks in Radiotherapy (NUMBER) participants = 15; Maximal Eastern Cooperative Oncology Group (ECOG) Performance Status Increase (MEAN) units on a scale = 1.5; Number of Participants Hospitalized (NUMBER) participants = 31; Maximal Body Weight Loss (MEAN) kilograms = 4.63,,,,,,,,,,,,,,,,
NCT00095199,Docetaxel or Pemetrexed With or Without Cetuximab in Patients With Recurrent or Progressive Non-Smal,True,1,7,Progression Free Survival (PFS) (MEDIAN) months = 2.89 [2.69-3.22],"Overall Survival (OS) (MEDIAN) months = 6.93 [6.28-7.85]; Proportion of Randomized Participants With the Best Overall Response (OR) of Partial Response (PR) or Complete Response (CR) (Overall Response Rate [ORR]) (NUMBER) proportion of participants = 0.066 [0.038-0.095]; Proportion of Randomized Participants With Best Overall Response (OR) of Partial Response (PR), Complete Response (CR), or Stable Disease (SD) (NUMBER) proportion of participants = 0.522 [0.465-0.578]; Percentage of Participants With Symptomatic Response (Symptom Response Rates) Using the Lung Cancer Subscale (LCS) Scores of Functional Assessment of Cancer Therapy for Participants With Lung Cancer (FACT-L) (NUMBER) percentage of participants = 17.1 [12.7-21.6]; ; Duration of Overall Response (OR) (MEDIAN) months = 4.17 [2.92-5.45]; Number of Participants With Common Toxicity Criteria (CTC) Grade 3 or 4 Toxicities (NUMBER) participants = 179",,"Proportion of Randomized Participants With the Best Overall Response (OR) of Partial Response (PR) or Complete Response (CR) (Overall Response Rate [ORR]) (NUMBER) proportion of participants = 0.066 [0.038-0.095]; Proportion of Randomized Participants With Best Overall Response (OR) of Partial Response (PR), Complete Response (CR), or Stable Disease (SD) (NUMBER) proportion of participants = 0.522 [0.465-0.578]",,,,,,,Overall Survival (OS) (MEDIAN) months = 6.93 [6.28-7.85],Progression Free Survival (PFS) (MEDIAN) months = 2.89 [2.69-3.22],"Proportion of Randomized Participants With the Best Overall Response (OR) of Partial Response (PR) or Complete Response (CR) (Overall Response Rate [ORR]) (NUMBER) proportion of participants = 0.066 [0.038-0.095]; Proportion of Randomized Participants With Best Overall Response (OR) of Partial Response (PR), Complete Response (CR), or Stable Disease (SD) (NUMBER) proportion of participants = 0.522 [0.465-0.578]",,Proportion of Randomized Participants With the Best Overall Response (OR) of Partial Response (PR) or Complete Response (CR) (Overall Response Rate [ORR]) (NUMBER) proportion of participants = 0.066 [0.038-0.095]; Percentage of Participants With Symptomatic Response (Symptom Response Rates) Using the Lung Cancer Subscale (LCS) Scores of Functional Assessment of Cancer Therapy for Participants With Lung Cancer (FACT-L) (NUMBER) percentage of participants = 17.1 [12.7-21.6],Number of Participants With Common Toxicity Criteria (CTC) Grade 3 or 4 Toxicities (NUMBER) participants = 179,,
