nct_id,official_title,experimental_drugs,biomarkers,primary_outcomes,efficacy_status,reasoning
NCT00564733,FDG-PET Based Chemotherapy Selection for Metastatic Non-Small Cell Lung Cancer,,Unselected,The overall response rate (CR or PR) was 13 out of 46 participants (28.3%) in the chemotherapy arm.,UNCERTAIN,"No statistical significance (p-value or confidence interval) is reported for the primary endpoint, the overall response rate, to determine if it met its target or if there was a statistically significant effect. The drugs used (paclitaxel, carboplatin, gemcitabine, docetaxel) are considered standard chemotherapy backbones, which were to be ignored per instructions. No genetic biomarkers (EGFR, ALK, KRAS, ROS1, PD-L1) were used for patient selection into the trial."
NCT00567359,"A Phase II Trial of Adjuvant Erlotinib in Patients With Resected, Early Stage Non-Small Cell Lung Cancer (NSCLC) With Confirmed Mutations in the Epidermal Growth Factor Receptor (EGFR)",Erlotinib,EGFR,"For the primary endpoint of 2-year Disease-free Survival, 88 out of 100 participants (88%) in the Erlotinib arm were alive and free from disease recurrence.",UNCERTAIN,"The trial reports the percentage of participants achieving the 2-year disease-free survival endpoint (88%), but it does not provide a p-value or confidence interval to assess statistical significance against a null hypothesis or control, which is required by the efficacy status classification rules for determining POSITIVE or NEGATIVE outcomes."
NCT00577707,A Phase II Study of Erlotinib and Chemotherapy for Patients With Stage IB-IIIA NSCLC With EGFR Mutations (ECON),erlotinib,EGFR,"The primary endpoint, 'Number of Patients With Pathologic Complete Response Rate', reported 0 complete responses (CR) among 6 participants. For other responses, 1 participant had a partial response (PR), 1 had a minor response (MR), 2 had stable disease (SD), and 2 had progressive disease (PD).",NEGATIVE,"The primary endpoint, Pathologic Complete Response Rate, showed 0 complete responses among the 6 participants. Although no specific statistical significance or target rate was provided, the absence of any complete response for the specified primary endpoint suggests it was not met."
NCT00588445,Phase II Trial to Correlate Radiographic Response Induced By Gefitinib With Mutations in the Protein-Tyrosine Kinase Domain of the EGF Receptor Gene in Patients With NSCLC,Gefitinib,EGFR,"The primary endpoint was the radiographic response to Gefitinib. Out of 50 participants, 21 (42%) demonstrated a minor radiographic response (>25% decrease in tumor size) after 21 days of treatment.",UNCERTAIN,"The primary outcome reports the number of responders but does not provide statistical significance (p-value) or confidence intervals for the observed response rate, which are required to classify efficacy as POSITIVE or NEGATIVE according to the defined criteria."
NCT00590902,"Multicenter Phase II Trial of OSI-774 (Erlotinib, Tarceva) In Patients With Advanced Bronchioloalveolar Cell Lung Cancer",erlotinib,Unselected,"In this single-arm Phase II study of erlotinib (OSI-774) in 80 participants, the objective response rate (CR+PR) was 23.75% (1 Complete Response, 18 Partial Responses). Additionally, 31 participants achieved stable disease and 30 experienced progression of disease.",UNCERTAIN,"While primary outcome data (response rates) are reported, no statistical significance (p-value) or confidence interval is provided to determine if the primary endpoint met significance according to the defined criteria for POSITIVE or NEGATIVE efficacy status."
NCT00591838,A Phase I/II Trial of Stereotactic Body Radiation Therapy (SBRT) Dose Escalation in the Treatment of Patients With Inoperable Stage I/II Non-Small Cell Lung Cancer Arising Within the Zone of the Proximal Bronchial Tree,,Unselected,"The Phase I portion successfully determined the maximum tolerated dose (MTD) of SBRT as 11Gy x 5 fractions, based on assessments of acute and late treatment-related Grade 3-5 toxicities. For the Phase II portion, the primary efficacy endpoint of Local Control Rate at 2 years was 85% (95% Confidence Interval: 62-95%).",NEGATIVE,"The primary efficacy endpoint, Local Control Rate for the Phase II portion, was reported as 85% with a 95% CI of 62-95%. However, no p-value was provided to establish statistical significance (p < 0.05) against a predefined hypothesis, nor does the confidence interval for this percentage directly fit the 'CI crosses 1.0/0' criterion for failure in ratio-based endpoints. As the strict criteria for a 'POSITIVE' efficacy status (p < 0.05) are not explicitly met in the provided data for the efficacy outcome, and results are reported (not UNCERTAIN), it is categorized as NEGATIVE by elimination, indicating that a statistically significant positive effect was not explicitly demonstrated or reported according to the given rules. The Phase I outcomes successfully determined MTD and reported toxicities, but these are safety/dose-finding, not efficacy."
NCT00600015,A Randomized Double-Blind Placebo-Controlled Phase II Trial of Sorafenib and Erlotinib or Erlotinib Alone in Previously Treated Advanced Non-Small Cell Lung Cancer,Sorafenib,Unselected,"The primary outcomes were Overall Objective Response Rate (ORR), Progression-Free Survival (PFS), and Disease Control Rate (DCR). For ORR, the combination therapy achieved 8.1% (95% CI: 3.77-14.83) compared to 10.9% (95% CI: 4.11-22.25) for erlotinib alone. For PFS, the median was 3.38 months (95% CI: 2.30-3.81) for combination therapy versus 1.94 months (95% CI: 1.77-3.65) for erlotinib alone. For DCR, the combination therapy achieved 54% (95% CI: 44-64) compared to 38% (95% CI: 25-52) for erlotinib alone. No primary endpoint demonstrated a statistically significant benefit for the combination arm.",NEGATIVE,"All primary endpoints (ORR, PFS, and DCR) showed overlapping 95% Confidence Intervals between the experimental (Sorafenib + Erlotinib) and control (Erlotinib + Placebo) arms, indicating that no statistically significant benefit was demonstrated for the combination therapy. ORR was numerically lower in the combination arm, while PFS and DCR were numerically higher but without clear statistical significance based on overlapping CIs."
NCT00600821,Randomized Phase 2 Trial Of AG013736 Or Bevacizumab In Combination With Paclitaxel And Carboplatin As First Line Treatment For Patients With Advanced Non Small Cell Lung Cancer,AG-013736 (axitinib),Unselected,"The primary endpoint, Progression Free Survival (PFS), did not show a statistically significant difference between the axitinib and bevacizumab arms. Median PFS was 5.7 months (95% CI: 4.1, 7.5) for the axitinib + chemotherapy arm and 6.1 months (95% CI: 4.2, 8.7) for the bevacizumab + chemotherapy arm. The Hazard Ratio was 1.093 (95% CI: 0.679, 1.761) with a p-value of 0.639.",NEGATIVE,"The primary endpoint (Progression Free Survival) had a p-value of 0.639, which is greater than 0.05, and the 95% Confidence Interval for the Hazard Ratio (0.679, 1.761) crossed 1.0, indicating no statistically significant difference between the experimental and comparator arms."
NCT00602030,"A Randomized, Placebo-controlled, Double-blind, Multicenter Phase 2 Study With a Lead in Phase of Erlotinib With or Without SNDX-275 in Patients With NSCLC After Failure In Up to Two Prior Chemotherapeutic Regimens for Advanced Disease",Entinostat,Unselected,"The study's primary efficacy endpoint, 4-month progression-free survival (PFS) rate in the double-blind phase, showed no statistically significant difference between the Erlotinib + Entinostat arm and the Erlotinib + Placebo arm. The 4-month PFS rate was 20.8% for Erlotinib + Entinostat (95% CI: 9.8-31.7) and 24.0% for Erlotinib + Placebo (95% CI: 12.2-35.8). The adjusted odds ratio was 0.72 (95% CI: 0.27-1.89), with a p-value of 0.505. Another primary outcome focused on dose-finding, determining 10mg as the safe dose for the double-blind phase.",NEGATIVE,"The primary efficacy endpoint, 4-month PFS rate, failed to meet statistical significance (p=0.505) and the 95% confidence interval for the adjusted odds ratio (0.27-1.89) crossed 1.0, indicating no significant benefit for the experimental drug combination."
NCT00602797,Phase II Study of Weekly Vinorelbine and Paclitaxel in Elderly Patients With Advanced Non-Small Cell Lung Cancer,Vinorelbine Tartrate; Paclitaxel,Unselected,The median progression-free survival (PFS) for the treatment group was 7.8 months (95% CI: 1.92 - 13.56 months).,UNCERTAIN,"This is a single-arm Phase II study, and the provided data only includes the median PFS and its confidence interval for the treatment group. No p-value, comparator arm data, or a predefined threshold for statistical significance against a null hypothesis is reported, making it impossible to determine if the primary endpoint met statistical significance."
